# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.124 4.9996 -9.28707e-10 -0.0674369 -1.13159e-09 0.00280073 1.26868e-09 0.999996
0.125 4.9996 -9.41408e-10 -0.068583 -1.14319e-09 0.00282667 1.28202e-09 0.999996
0.126 4.9996 -9.54109e-10 -0.069739 -1.15479e-09 0.0028526 1.29537e-09 0.999996
0.127 4.99959 -9.6681e-10 -0.0709047 -1.1664e-09 0.00287854 1.30871e-09 0.999996
0.128 4.99959 -9.79512e-10 -0.0720803 -1.178e-09 0.00290448 1.32205e-09 0.999996
0.129 4.99959 -9.92215e-10 -0.0732656 -1.18961e-09 0.00293041 1.3354e-09 0.999996
0.13 4.99958 -1.00492e-09 -0.0744607 -1.20121e-09 0.00295635 1.34874e-09 0.999996
0.131 4.99958 -1.01762e-09 -0.0756657 -1.21282e-09 0.00298229 1.36209e-09 0.999996
0.132 4.99957 -1.03032e-09 -0.0768804 -1.22442e-09 0.00300822 1.37544e-09 0.999995
0.133 4.99957 -1.04303e-09 -0.078105 -1.23603e-09 0.00303416 1.38878e-09 0.999995
0.134 4.99957 -1.05573e-09 -0.0793393 -1.24763e-09 0.0030601 1.40213e-09 0.999995
0.135 4.99956 -1.06844e-09 -0.0805835 -1.25924e-09 0.00308604 1.41548e-09 0.999995
0.136 4.99956 -1.08114e-09 -0.0818374 -1.27085e-09 0.00311197 1.42883e-09 0.999995
0.137 4.99956 -1.09385e-09 -0.0831012 -1.28246e-09 0.00313791 1.44217e-09 0.999995
0.138 4.99955 -1.10655e-09 -0.0843747 -1.29406e-09 0.00316385 1.45552e-09 0.999995
0.139 4.99955 -1.11926e-09 -0.085658 -1.30567e-09 0.00318978 1.46887e-09 0.999995
0.14 4.99954 -1.13197e-09 -0.0869512 -1.31728e-09 0.00321572 1.48222e-09 0.999995
0.141 4.99954 -1.14468e-09 -0.0882541 -1.32889e-09 0.00324166 1.49557e-09 0.999995
0.142 4.99954 -1.15738e-09 -0.0895669 -1.3405e-09 0.00326759 1.50892e-09 0.999995
0.143 4.99953 -1.17009e-09 -0.0908894 -1.35211e-09 0.00329353 1.52227e-09 0.999995
0.144 4.99953 -1.1828e-09 -0.0922218 -1.36372e-09 0.00331947 1.53562e-09 0.999994
0.145 4.99953 -1.19551e-09 -0.0935639 -1.37533e-09 0.0033454 1.54897e-09 0.999994
0.146 4.99952 -1.20822e-09 -0.0949158 -1.38694e-09 0.00337134 1.56233e-09 0.999994
0.147 4.99952 -1.22093e-09 -0.0962776 -1.39855e-09 0.00339728 1.57568e-09 0.999994
0.148 4.99951 -1.23364e-09 -0.0976491 -1.41016e-09 0.00342321 1.58903e-09 0.999994
0.149 4.99951 -1.24635e-09 -0.0990305 -1.42177e-09 0.00344915 1.60238e-09 0.999994
0.15 4.99951 -1.25906e-09 -0.100422 -1.43338e-09 0.00347509 1.61574e-09 0.999994
0.151 4.9995 -1.27177e-09 -0.101823 -1.44499e-09 0.00350103 1.62909e-09 0.999994
