# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.105 5.00019 0.000427494 -0.0406389 -0.00528975 -0.000422633 0.000213558 0.999986
0.106 5.00019 0.000441161 -0.0412149 -0.00546481 -0.000436369 0.000220587 0.999985
0.107 5.0002 0.000455148 -0.0417901 -0.00564357 -0.000450368 0.000227758 0.999984
0.108 5.00021 0.000469459 -0.0423645 -0.00582604 -0.000464626 0.00023507 0.999983
0.109 5.00022 0.000484098 -0.0429382 -0.0060122 -0.000479139 0.000242522 0.999982
0.11 5.00022 0.000499068 -0.043511 -0.00620204 -0.000493903 0.000250114 0.999981
0.111 5.00023 0.000514374 -0.0440829 -0.00639556 -0.000508915 0.000257845 0.999979
0.112 5.00024 0.000530019 -0.0446539 -0.00659275 -0.00052417 0.000265713 0.999978
0.113 5.00024 0.000546004 -0.045224 -0.00679358 -0.000539663 0.000273718 0.999977
0.114 5.00025 0.000562332 -0.0457931 -0.00699805 -0.00055539 0.000281858 0.999975
0.115 5.00026 0.000579007 -0.0463611 -0.00720614 -0.000571346 0.000290132 0.999974
0.116 5.00027 0.000596031 -0.046928 -0.00741784 -0.000587528 0.00029854 0.999972
0.117 5.00028 0.000613409 -0.0474939 -0.00763314 -0.00060393 0.000307079 0.999971
0.118 5.00028 0.000631146 -0.0480585 -0.00785202 -0.000620548 0.000315751 0.999969
0.119 5.00029 0.000649248 -0.048622 -0.00807446 -0.000637377 0.000324552 0.999967
0.12 5.0003 0.000667721 -0.0491842 -0.00830046 -0.000654412 0.000333483 0.999965
0.121 5.00031 0.000686568 -0.0497452 -0.00852998 -0.000671649 0.000342542 0.999963
0.122 5.00032 0.000705793 -0.0503049 -0.00876302 -0.000689081 0.000351728 0.999961
0.123 5.00033 0.000725401 -0.0508632 -0.00899955 -0.000706703 0.000361039 0.999959
0.124 5.00034 0.000745396 -0.0514201 -0.00923955 -0.000724511 0.000370475 0.999957
0.125 5.00035 0.000765784 -0.0519756 -0.009483 -0.000742498 0.000380034 0.999955
0.126 5.00036 0.000786571 -0.0525296 -0.00972988 -0.000760659 0.000389715 0.999952
0.127 5.00037 0.000807764 -0.0530821 -0.00998017 -0.000778989 0.000399517 0.99995
0.128 5.00038 0.000829368 -0.053633 -0.0102338 -0.000797481 0.000409438 0.999947
0.129 5.00039 0.00085139 -0.0541823 -0.0104909 -0.000816129 0.000419476 0.999945
0.13 5.0004 0.000873834 -0.05473 -0.0107512 -0.000834928 0.000429631 0.999942
0.131 5.00041 0.000896707 -0.0552761 -0.0110149 -0.00085387 0.0004399 0.999939
0.132 5.00042 0.000920013 -0.0558204 -0.0112818 -0.000872951 0.000450282 0.999936
0.133 5.00043 0.000943759 -0.0563629 -0.011552 -0.000892163 0.000460775 0.999933
0.134 5.00044 0.000967952 -0.0569036 -0.0118254 -0.000911499 0.000471379 0.99993
0.135 5.00045 0.000992597 -0.0574425 -0.012102 -0.000930953 0.00048209 0.999926
0.136 5.00046 0.00101781 -0.0579769 -0.0123823 -0.000950572 0.000492929 0.999923
0.137 5.00047 0.00104361 -0.0585067 -0.0126663 -0.000970348 0.000503894 0.999919
0.138 5.00049 0.00106998 -0.0590319 -0.012954 -0.000990275 0.000514982 0.999915
0.139 5.0005 0.00109694 -0.0595524 -0.0132453 -0.00101035 0.000526193 0.999912
0.14 5.00051 0.0011245 -0.0600683 -0.0135402 -0.00103055 0.000537522 0.999908
0.141 5.00052 0.00115265 -0.0605795 -0.0138387 -0.00105089 0.00054897 0.999904
0.142 5.00054 0.0011814 -0.0610859 -0.0141406 -0.00107135 0.000560533 0.999899
0.143 5.00055 0.00121077 -0.0615875 -0.014446 -0.00109193 0.00057221 0.999895
0.144 5.00056 0.00124075 -0.0620843 -0.0147548 -0.00111261 0.000583999 0.99989
0.145 5.00058 0.00127135 -0.0625763 -0.0150669 -0.0011334 0.000595898 0.999886
0.146 5.00059 0.00130258 -0.0630633 -0.0153824 -0.00115428 0.000607904 0.999881
0.147 5.00061 0.00133443 -0.0635454 -0.0157011 -0.00117525 0.000620015 0.999876
0.148 5.00062 0.00136693 -0.0640226 -0.016023 -0.0011963 0.000632229 0.999871
0.149 5.00064 0.00140006 -0.0644947 -0.0163481 -0.00121742 0.000644543 0.999865
0.15 5.00065 0.00143383 -0.0649619 -0.0166763 -0.00123861 0.000656955 0.99986
0.151 5.00067 0.00146825 -0.065424 -0.0170075 -0.00125986 0.000669463 0.999854
0.152 5.00068 0.00150333 -0.065881 -0.0173417 -0.00128117 0.000682064 0.999849
0.153 5.0007 0.00153906 -0.0663329 -0.0176789 -0.00130252 0.000694756 0.999843
0.154 5.00071 0.00157544 -0.0667797 -0.018019 -0.00132391 0.000707535 0.999837
0.155 5.00073 0.00161249 -0.0672213 -0.0183619 -0.00134533 0.000720401 0.99983
0.156 5.00075 0.0016502 -0.0676578 -0.0187076 -0.00136677 0.000733349 0.999824
0.157 5.00076 0.00168857 -0.068089 -0.019056 -0.00138824 0.000746378 0.999817
0.158 5.00078 0.00172762 -0.068515 -0.0194071 -0.00140971 0.000759484 0.99981
0.159 5.0008 0.00176736 -0.0689358 -0.0197607 -0.00143119 0.000772666 0.999803
0.16 5.00082 0.00180778 -0.0693513 -0.0201169 -0.00145266 0.00078592 0.999796
0.161 5.00084 0.0018489 -0.0697616 -0.0204755 -0.00147412 0.000799244 0.999789
0.162 5.00085 0.00189073 -0.0701665 -0.0208366 -0.00149557 0.000812634 0.999781
0.163 5.00087 0.00193328 -0.0705661 -0.0212 -0.00151699 0.000826089 0.999774
0.164 5.00089 0.00197656 -0.0709604 -0.0215657 -0.00153838 0.000839606 0.999766
0.165 5.00091 0.00202058 -0.0713493 -0.0219336 -0.00155973 0.000853181 0.999758
0.166 5.00093 0.00206534 -0.0717328 -0.0223037 -0.00158104 0.000866813 0.99975
0.167 5.00095 0.00211085 -0.072111 -0.0226758 -0.0016023 0.000880499 0.999741
0.168 5.00097 0.00215712 -0.0724837 -0.02305 -0.0016235 0.000894237 0.999733
0.169 5.00099 0.00220415 -0.072851 -0.0234261 -0.00164465 0.000908023 0.999724
0.17 5.00101 0.00225209 -0.0732098 -0.0238045 -0.00166583 0.000921871 0.999715
0.171 5.00103 0.00230092 -0.07356 -0.0241851 -0.00168704 0.000935778 0.999706
0.172 5.00106 0.00235067 -0.0739018 -0.0245679 -0.00170827 0.000949741 0.999696
0.173 5.00108 0.00240134 -0.074235 -0.0249529 -0.00172953 0.000963757 0.999687
0.174 5.0011 0.00245292 -0.0745597 -0.0253398 -0.00175081 0.000977823 0.999677
0.175 5.00112 0.00250544 -0.0748759 -0.0257286 -0.00177209 0.000991936 0.999667
0.176 5.00115 0.00255888 -0.0751835 -0.0261193 -0.00179338 0.00100609 0.999657
0.177 5.00117 0.00261326 -0.0754826 -0.0265118 -0.00181468 0.00102029 0.999646
0.178 5.0012 0.00266858 -0.0757732 -0.0269059 -0.00183596 0.00103453 0.999636
0.179 5.00122 0.00272485 -0.0760553 -0.0273017 -0.00185724 0.00104881 0.999625
0.18 5.00125 0.00278207 -0.0763289 -0.027699 -0.00187851 0.00106311 0.999614
0.181 5.00127 0.00284024 -0.076594 -0.0280977 -0.00189976 0.00107745 0.999603
0.182 5.0013 0.00289935 -0.0768506 -0.0284978 -0.00192098 0.00109182 0.999591
0.183 5.00132 0.00295942 -0.0770988 -0.0288992 -0.00194218 0.00110622 0.99958
0.184 5.00135 0.00302044 -0.0773385 -0.0293018 -0.00196335 0.00112064 0.999568
0.185 5.00138 0.00308242 -0.0775698 -0.0297056 -0.00198447 0.00113508 0.999556
0.186 5.0014 0.00314535 -0.0777926 -0.0301104 -0.00200555 0.00114954 0.999544
0.187 5.00143 0.00320925 -0.0780071 -0.0305161 -0.00202658 0.00116401 0.999532
0.188 5.00146 0.00327411 -0.0782132 -0.0309227 -0.00204755 0.00117849 0.999519
0.189 5.00149 0.00333994 -0.0784109 -0.0313301 -0.00206846 0.00119298 0.999506
0.19 5.00152 0.00340676 -0.0786004 -0.0317383 -0.00208931 0.00120748 0.999493
0.191 5.00155 0.00347456 -0.0787815 -0.032147 -0.00211009 0.00122198 0.99948
0.192 5.00158 0.00354336 -0.0789544 -0.0325564 -0.00213079 0.00123648 0.999467
0.193 5.00161 0.00361315 -0.079119 -0.0329662 -0.00215142 0.00125097 0.999453
0.194 5.00164 0.00368396 -0.0792754 -0.0333763 -0.00217196 0.00126546 0.99944
0.195 5.00167 0.00375579 -0.0794237 -0.0337868 -0.00219241 0.00127995 0.999426
0.196 5.0017 0.00382865 -0.0795638 -0.0341975 -0.00221277 0.00129441 0.999412
0.197 5.00174 0.00390256 -0.0796958 -0.0346084 -0.00223304 0.00130887 0.999398
0.198 5.00177 0.00397751 -0.0798198 -0.0350193 -0.0022532 0.00132331 0.999383
0.199 5.0018 0.00405354 -0.0799358 -0.0354302 -0.00227325 0.00133772 0.999369
0.2 5.00184 0.00413063 -0.0800437 -0.035841 -0.0022932 0.00135212 0.999354
0.201 5.00187 0.00420881 -0.0801438 -0.0362516 -0.00231303 0.00136649 0.999339
